-90.985527,673.582153,2678.380615;-115.776558,428.723389,2732.746338;-101.544411,237.062378,2753.973389;-268.753540,418.144226,2739.792480;-311.618866,144.995056,2825.445312;-357.335876,-139.180115,2794.806641;37.200413,439.302612,2725.700195;90.047630,172.229004,2824.001709;139.937103,-112.702850,2834.450684;-202.336502,37.446793,2780.498535;-202.336502,-405.249390,2780.498535;-202.336502,-830.918823,2780.498535;27.711979,53.355911,2769.902344;27.711979,-389.340271,2769.902344;27.711979,-815.009644,2769.902344
-90.376297,674.805298,2671.199219;-117.118256,431.746490,2726.570312;-101.259445,236.553574,2748.575928;-269.807007,419.793213,2730.581299;-316.214081,135.882141,2815.475586;-356.139435,-151.071655,2769.238281;35.570496,443.699768,2722.559326;90.425903,174.692871,2819.435547;154.685059,-114.195618,2835.870850;-198.922043,32.473602,2773.563721;-198.640915,-410.909760,2834.677002;-160.639420,-804.819580,2968.229492;28.120779,50.247711,2767.599365;64.749626,-383.836639,2706.319336;136.687164,-831.277405,2679.447266
-89.214760,673.767212,2666.853516;-111.522148,425.867981,2716.517822;-96.280174,229.989624,2740.758789;-269.437195,414.628967,2724.993408;-314.774231,126.889099,2804.391846;-354.694366,-164.710571,2766.158691;46.392891,437.106995,2708.042236;91.216797,179.540100,2821.340088;160.631805,-135.671875,2821.108398;-191.185715,26.271927,2770.911621;-197.008194,-410.821594,2837.402588;-161.297211,-802.625305,2974.084961;29.109314,41.950607,2759.087891;68.067184,-390.276917,2698.306152;129.866409,-840.964111,2646.715332
-85.542763,661.471802,2653.959961;-108.757721,409.704865,2700.485107;-93.005211,218.200943,2728.611084;-269.350403,397.476135,2707.165527;-311.129242,127.011047,2794.745605;-353.021759,-154.800476,2753.388184;51.834957,421.933594,2693.804688;93.189888,168.863297,2818.822021;173.513489,-138.347397,2823.131348;-184.710464,18.514389,2761.207031;-194.555206,-415.698547,2830.049072;-161.701553,-804.326660,2971.790771;30.205067,34.879654,2752.267090;73.450378,-399.693604,2692.973389;127.326996,-845.532043,2633.652832
-80.089638,655.032837,2637.336670;-102.477554,403.892578,2690.370361;-86.662300,210.377869,2714.810059;-262.531738,391.596313,2696.581299;-306.386932,120.479340,2780.531006;-331.243622,-153.307983,2734.501465;57.576630,416.188812,2684.159424;100.402176,158.594299,2787.462646;178.735718,-141.943787,2811.896484;-180.170685,8.464325,2743.492188;-190.312973,-417.726807,2823.589111;-160.789902,-801.945190,2969.010986;38.476593,25.262024,2735.007324;75.993500,-408.036133,2689.283203;121.148552,-853.653625,2625.062500
-75.735718,650.669983,2628.881836;-96.082817,397.555969,2683.645020;-79.725807,205.156982,2705.234863;-257.846924,384.605499,2690.792725;-301.480194,89.772766,2766.883301;-329.950104,-158.186081,2727.649658;65.681267,410.506470,2676.497314;107.744247,152.645203,2781.550049;189.465973,-147.989288,2790.216309;-175.602982,3.772751,2731.783936;-187.525467,-418.665283,2813.189453;-159.220093,-798.752625,2962.508789;48.865395,21.743210,2721.865479;77.325485,-419.084595,2681.265381;116.890602,-865.343811,2620.135498
-70.144867,652.209656,2619.566650;-87.791603,396.905518,2674.894531;-72.439529,204.073883,2695.614746;-249.746948,385.051636,2684.573242;-284.397552,89.600525,2756.945068;-309.406403,-167.604095,2706.241943;74.163734,408.759460,2665.215820;113.971596,148.266357,2765.427002;197.518158,-152.664612,2753.183350;-169.918671,2.983841,2723.077881;-185.627075,-427.425110,2785.847656;-159.202454,-801.255554,2958.843262;55.743774,19.500626,2709.592041;77.601257,-422.484070,2672.914062;116.749390,-864.809875,2620.941406
-67.441566,654.294861,2614.088623;-76.858231,399.850952,2657.747314;-64.873512,204.747284,2677.258057;-237.624603,390.680634,2664.799072;-274.281128,91.878937,2740.840576;-289.479462,-176.526398,2678.085205;83.908142,409.021240,2650.695557;125.235840,144.676575,2755.990967;206.025772,-147.685364,2740.554688;-166.223236,3.178909,2701.739990;-180.828751,-435.171692,2770.331543;-158.918823,-810.976624,2957.801758;60.445641,16.108353,2691.797607;85.598663,-425.094971,2650.604492;118.393005,-859.225342,2615.235840
-61.465923,653.772644,2609.367920;-64.270088,398.313416,2639.755615;-52.417301,205.779205,2659.278320;-222.741470,389.609985,2650.134521;-257.821533,98.523560,2727.637939;-286.235779,-169.596191,2684.014404;94.201302,407.016815,2629.376709;133.953613,138.193878,2730.795166;219.409180,-149.758209,2724.919678;-156.707718,6.866302,2686.407715;-170.422791,-433.039764,2755.259521;-162.626205,-815.906677,2936.483643;75.578682,19.623718,2671.194336;94.304192,-427.000519,2632.743652;119.519409,-859.818726,2612.452148
-49.074371,651.397461,2597.163330;-45.432922,408.210693,2615.659668;-39.230324,211.788422,2639.331055;-198.329987,404.233765,2622.723389;-244.639893,107.936920,2689.826660;-272.249847,-155.582977,2657.187744;107.464142,412.187622,2608.595947;144.928558,143.288452,2721.381836;226.838867,-129.291321,2700.123535;-150.266647,12.316711,2668.418701;-164.365021,-428.959442,2736.737305;-157.890518,-807.630920,2903.950195;84.211205,18.415588,2657.586182;98.469101,-426.035950,2615.240967;121.048241,-867.207458,2606.332031
